"c_date";"c_no";"c_sum";"c_type";"c_comment";"c_receipt_id";"c_submit_date";"c_type";"c_pay_date";"c_no";"c_status";"r_comment"
"2017-11-28";"869";1039;2;"花花烤肉 小组活动";21;"2018-11-28";0;"2018-04-10 00:00:00";"869";1;"因为当时不能开票，实际开票日期是3/8"
"2017-12-21";"869";153;4;"上海出差交通65 65+出租车23";34;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"实际报销800元 多104元"
"2018-03-08";"NT011";119;4;"出差去上海参加图研访问 交通";20;"2018-03-08";0;"2018-04-10 00:00:00";"NT022";1;"出差去上海参加图研访问 交通"
"2018-03-08";"NT022";120;4;"出差去上海参加图研访问 交通";20;"2018-03-08";0;"2018-04-10 00:00:00";"NT022";1;"出差去上海参加图研访问 交通"
"2018-03-08";"NT020";1321;2;"聚餐";22;"2018-03-09";0;"2018-04-10 00:00:00";"NT020";1;"14名参加"
"2018-04-19";"NT016";174;4;"从日本回国";23;"2018-04-19";0;"2018-06-28 00:00:00";"NT016";1;""
"2018-04-02";"NT020";69.9;3;"U盘";24;"2018-04-19";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-03-14";"NT020";135.4;3;"纸巾";25;"2018-04-19";0;"2018-06-28 00:00:00";"NT020";1;""
"2018-02-20";"869";123;3;"微波炉桌子，实际168，补个人购买纸巾的45元，168-45=123";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-02-25";"869";30;1;"加班 2018-02-25 8h";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-02-28";"869";30;1;"加班 2018-02-28 2.5h";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-12";"869";488;2;"上海出差，小组活动5人，单子由田晓磊填写,";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-18";"869";30;1;"加班 2018-03-18 8.5h";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-12";"869";40;4;"上海出差 停车费";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-22";"869";12;3;"寄送电视会议话筒+摄像头";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-27";"869";30;1;"加班 2018-03-27 3.5h";27;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;"含金凤霞30元#52  实际报销819多报销7元"
"2018-03-12";"869";165;4;"上海出差 过路费";28;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;""
"2018-05-11";"869";145;4;"上海出差 过路费";28;"2018-05-28";0;"2018-06-28 00:00:00";"869";1;""
